id,channel,family,dest,match,utm_source,utm_medium,utm_campaign,utm_content,url,qr_svg,qr_png,asset_file,decode_ok
mosque-spain-saudi-arabia,mosque,placement,match,spain-saudi-arabia,mosque_alfarooq,qr,wc2026,,https://atlan-green-book.vercel.app/match/spain-saudi-arabia?utm_source=mosque_alfarooq&utm_medium=qr&utm_campaign=wc2026,qr/mosque-spain-saudi-arabia.svg,qr/mosque-spain-saudi-arabia.png,mosque-flyer.html,true
mosque-morocco-haiti,mosque,placement,match,morocco-haiti,mosque_alfarooq,qr,wc2026,,https://atlan-green-book.vercel.app/match/morocco-haiti?utm_source=mosque_alfarooq&utm_medium=qr&utm_campaign=wc2026,qr/mosque-morocco-haiti.svg,qr/mosque-morocco-haiti.png,mosque-flyer.html,true
mosque-dr-congo-uzbekistan,mosque,placement,match,dr-congo-uzbekistan,mosque_alfarooq,qr,wc2026,,https://atlan-green-book.vercel.app/match/dr-congo-uzbekistan?utm_source=mosque_alfarooq&utm_medium=qr&utm_campaign=wc2026,qr/mosque-dr-congo-uzbekistan.svg,qr/mosque-dr-congo-uzbekistan.png,mosque-flyer.html,true
mosque-semifinal-atlanta,mosque,placement,match,semifinal-atlanta,mosque_alfarooq,qr,wc2026,,https://atlan-green-book.vercel.app/match/semifinal-atlanta?utm_source=mosque_alfarooq&utm_medium=qr&utm_campaign=wc2026,qr/mosque-semifinal-atlanta.svg,qr/mosque-semifinal-atlanta.png,mosque-flyer.html,true
restaurant-spain-saudi-arabia,restaurant,placement,match,spain-saudi-arabia,restaurant_aldente,qr,wc2026,,https://atlan-green-book.vercel.app/match/spain-saudi-arabia?utm_source=restaurant_aldente&utm_medium=qr&utm_campaign=wc2026,qr/restaurant-spain-saudi-arabia.svg,qr/restaurant-spain-saudi-arabia.png,table-tent.html,true
restaurant-morocco-haiti,restaurant,placement,match,morocco-haiti,restaurant_aldente,qr,wc2026,,https://atlan-green-book.vercel.app/match/morocco-haiti?utm_source=restaurant_aldente&utm_medium=qr&utm_campaign=wc2026,qr/restaurant-morocco-haiti.svg,qr/restaurant-morocco-haiti.png,table-tent.html,true
restaurant-dr-congo-uzbekistan,restaurant,placement,match,dr-congo-uzbekistan,restaurant_aldente,qr,wc2026,,https://atlan-green-book.vercel.app/match/dr-congo-uzbekistan?utm_source=restaurant_aldente&utm_medium=qr&utm_campaign=wc2026,qr/restaurant-dr-congo-uzbekistan.svg,qr/restaurant-dr-congo-uzbekistan.png,table-tent.html,true
restaurant-semifinal-atlanta,restaurant,placement,match,semifinal-atlanta,restaurant_aldente,qr,wc2026,,https://atlan-green-book.vercel.app/match/semifinal-atlanta?utm_source=restaurant_aldente&utm_medium=qr&utm_campaign=wc2026,qr/restaurant-semifinal-atlanta.svg,qr/restaurant-semifinal-atlanta.png,table-tent.html,true
window-spain-saudi-arabia,window,placement,match,spain-saudi-arabia,window_sticker,qr,wc2026,,https://atlan-green-book.vercel.app/match/spain-saudi-arabia?utm_source=window_sticker&utm_medium=qr&utm_campaign=wc2026,qr/window-spain-saudi-arabia.svg,qr/window-spain-saudi-arabia.png,window-sticker.html,true
window-morocco-haiti,window,placement,match,morocco-haiti,window_sticker,qr,wc2026,,https://atlan-green-book.vercel.app/match/morocco-haiti?utm_source=window_sticker&utm_medium=qr&utm_campaign=wc2026,qr/window-morocco-haiti.svg,qr/window-morocco-haiti.png,window-sticker.html,true
